employer,notice_date,number_of_employees_affected,warn_type,city,zip,lwib_area,address,record_number,detail_page_url
US Tower,"Jul 14, 2021",16,Non-WARN,Lincoln,67455,1 - Workforce Investment Area I,"216 E. Lincoln; Lincoln, Kansas 67455",2148,https://www.kansasworks.com/search/warn_lookups/2148
Waddell & Reed,"Feb 26, 2021",434,WARN,Mission,66202,3 - Workforce Investment Area III,"6300 Lamar Avenue; Mission, Kansas 66202",2135,https://www.kansasworks.com/search/warn_lookups/2135
"Cowley Distributing, Inc.","Sep 16, 2021",66,WARN,Jefferson City,65109,3 - Workforce Investment Area III,"John, Cowley; Jefferson City, Missouri 65109",2149,https://www.kansasworks.com/search/warn_lookups/2149
"Cowley Distributing, Inc.","Sep 16, 2021",,WARN,Jefferson City,65109,4 - Workforce Investment Area IV,,2150,https://www.kansasworks.com/search/warn_lookups/2150
ADM,"Sep 24, 2021",14,Non-WARN,Salina,67401,1 - Workforce Investment Area I,"850 Pacific Court; Salina, Kansas 67401",2151,https://www.kansasworks.com/search/warn_lookups/2151
Fuller Industries,"Sep 27, 2021",21,Non-WARN,Great Bend,67530,1 - Workforce Investment Area I,"1 FullerWay; Great Bend, Kansas 67530",2152,https://www.kansasworks.com/search/warn_lookups/2152
PAE,"Oct 01, 2021",22,WARN,Falls Church,22043,3 - Workforce Investment Area III,"7799 Leesburg Pike, Suite 300 North; Falls Church, Virginia 22043",2153,https://www.kansasworks.com/search/warn_lookups/2153
EmberHope,"Nov 02, 2021",,Non-WARN,Newton,67114,1 - Workforce Investment Area I,,2154,https://www.kansasworks.com/search/warn_lookups/2154
"Spirit AeroSystems, Inc.","Jan 10, 2020",2796,WARN,,,4 - Workforce Investment Area IV,,2021,https://www.kansasworks.com/search/warn_lookups/2021
Ducommun,"Jan 09, 2020",88,Non-WARN,,,5 - Workforce Investment Area V,,2022,https://www.kansasworks.com/search/warn_lookups/2022
Hi Lo Industries,"Jan 14, 2020",11,Non-WARN,,,5 - Workforce Investment Area V,,2023,https://www.kansasworks.com/search/warn_lookups/2023
Axiom Engineering,"Jan 16, 2020",42,Non-WARN,,,4 - Workforce Investment Area IV,,2024,https://www.kansasworks.com/search/warn_lookups/2024
JC Penney,"Jan 16, 2020",243,WARN,,,3 - Workforce Investment Area III,,2025,https://www.kansasworks.com/search/warn_lookups/2025
Timken SMO LCC,"Jan 17, 2020",,Non-WARN,,,5 - Workforce Investment Area V,,2026,https://www.kansasworks.com/search/warn_lookups/2026
"Schenker, Inc.","Jan 21, 2020",255,WARN,,,4 - Workforce Investment Area IV,,2027,https://www.kansasworks.com/search/warn_lookups/2027
LMI Aerospace,"Jan 21, 2020",50,Non-WARN,,,1 - Workforce Investment Area I,,2028,https://www.kansasworks.com/search/warn_lookups/2028
Arconic,"Jan 21, 2020",9,Non-WARN,,,1 - Workforce Investment Area I,,2029,https://www.kansasworks.com/search/warn_lookups/2029
Eagle Communitcations,"Jan 21, 2020",,Non-WARN,,,1 - Workforce Investment Area I,,2030,https://www.kansasworks.com/search/warn_lookups/2030
Transform LM LLC,"Jan 30, 2020",111,WARN,,,2 - Workforce Investment Area II,,2031,https://www.kansasworks.com/search/warn_lookups/2031
iSi Environmental,"Jan 22, 2020",9,Non-WARN,,,4 - Workforce Investment Area IV,,2032,https://www.kansasworks.com/search/warn_lookups/2032
Exacta Aerospace,"Jan 21, 2020",110,Non-WARN,,,4 - Workforce Investment Area IV,,2033,https://www.kansasworks.com/search/warn_lookups/2033
GKN Aerospace Precision Machining,"Jan 22, 2020",,Non-WARN,,,4 - Workforce Investment Area IV,,2034,https://www.kansasworks.com/search/warn_lookups/2034
"BLI Rentals, LLC","Feb 19, 2020",88,Non-WARN,,,5 - Workforce Investment Area V,,2035,https://www.kansasworks.com/search/warn_lookups/2035
Detroit Diesel Remanufacturing,"Feb 18, 2020",112,WARN,,,5 - Workforce Investment Area V,,2036,https://www.kansasworks.com/search/warn_lookups/2036
